Date,Open,High,Low,Close,SMAVG (12)  on Close,Volume,SMAVG (15),ATR(5) (KOSPI),RSI (14)  on Close (KOSPI)
2013-06-23,1889.45,1900.63,1806.02,1822.83,1934.2,1470000000,1561333376,67.8369,35.9818
2013-06-16,1927.19,1934.92,1881.24,1889.24,1949.38,1400000000,1592666624,54.4504,41.8853
2013-06-09,1993.11,2000.56,1923.84,1923.85,1954.33,1350000000,1606666624,54.8355,45.4977
2013-06-02,1974.59,2013.29,1971.53,2001.05,1959.55,1760000000,1648000000,43.6483,55.3927
2013-05-26,1990.36,1998.7,1961.59,1973.45,1959.97,1460000000,1635333376,44.5924,51.9215
2013-05-19,1936.86,1991.98,1935.57,1986.81,1964.39,1150000000,1655333376,48.3336,53.8034
2013-05-12,1977.44,1983.64,1944.75,1944.75,1967.06,1550000000,1720000000,44.2954,48.3284
2013-05-05,1948.87,1968.04,1934.68,1965.71,1970.1,1330000000,1780000000,46.9981,51.1326
2013-04-28,1903.97,1951.86,1901.98,1944.56,1968.86,1480000000,1882666624,53.8171,48.323
2013-04-21,1916.06,1934.82,1888.3,1906.75,1969.96,1820000000,1958000000,55.7857,42.8705
2013-04-14,1927.04,1956.21,1901.96,1924.23,1973.29,1780000000,1918666624,60.4186,44.9045
2013-04-07,2009.94,2010.15,1916.77,1927.23,1978.59,1950000000,1899333376,63.5029,45.2466
2013-03-31,1968.85,2013.21,1968.14,2004.89,1984.38,1650000000,1889333376,48.5643,55.3902
2013-03-24,1974.71,1989.46,1946.05,1948.71,1984.97,1490000000,1912666624,40.5965,47.4812
2013-03-17,2000.57,2009.71,1978.57,1986.5,1989,1780000000,1937333376,39.1898,53.394
2013-03-10,2028.55,2033.89,1994.25,2006.01,1988.49,1940000000,1952000000,43.2147,56.784
2013-03-03,2022.51,2030.85,1991.96,2026.49,1987.58,1610000000,1946000000,45.002,60.5299
2013-02-24,1979.42,2029.44,1973.65,2018.89,1981.82,1970000000,2000000000,48.058,59.6118
2013-02-17,1958.46,1986.14,1943.63,1981.18,1974.66,1570000000,2051333376,44.1921,54.7638
2013-02-10,1968.95,1969.13,1928.75,1950.9,1968.84,1760000000,2076666624,45.0331,50.3172
2013-02-03,1940.33,1967.29,1930.37,1957.79,1961.33,2120000000,2122000000,47.3597,51.3844
2013-01-27,1987.96,2008.06,1934.89,1946.69,1956.88,2449999872,2146000000,52.5795,49.7913
2013-01-20,1993.82,2016.37,1964.62,1987.85,1954.55,2870000128,2138666624,42.2843,56.1238
2013-01-13,2012.15,2017.92,1984.16,1996.67,1946.52,2609999872,2065333376,37.5514,57.581
2013-01-06,2013.74,2042.48,2001.53,2011.94,1942.11,1230000000,2130666624,39.4471,60.0891
2012-12-30,1984.18,2002.67,1971.53,1997.05,1935.56,1490000000,2312666624,36.4557,58.4504
2012-12-23,1993.18,2006.08,1976.09,1980.42,1935.4,1800000000,2483333376,39.1135,56.6024
2012-12-16,1965.71,2002.78,1955.39,1995.04,1936.72,2000000000,2593333248,43.6753,58.7349
2012-12-09,1937.28,1963.06,1928.09,1957.45,1937.33,1860000000,2672000000,41.8179,54.6563
2012-12-02,1918.01,1941.84,1905.95,1932.9,1941.5,2000000000,2709333248,45.2418,51.7651
2012-11-25,1869.76,1911.33,1869.23,1911.33,1941.23,1850000000,2676000000,49.9178,49.1182
2012-11-18,1899.3,1904.97,1856.81,1860.83,1940.71,2420000000,2677999872,49.6266,42.2257
2012-11-11,1905.46,1937.55,1879.06,1904.41,1945.63,2740000000,2617999872,50.36,47.3673
2012-11-04,1901.83,1921.98,1884.77,1918.72,1949.14,1950000000,2586666752,46.295,49.1938
2012-10-28,1910.98,1944.38,1890.15,1891.43,1951.44,2440000000,2592666624,50.8375,45.4704
2012-10-21,1927.82,1965.53,1921.32,1943.84,1947.88,2480000000,2540666624,49.1413,52.3063
2012-10-14,1994.05,1994.05,1919.82,1933.26,1938.32,2340000000,2483333376,51.6069,50.9233
2012-10-07,1998.52,2007.84,1983.03,1995.17,1929.13,1770000000,2430666752,39.7353,60.4478
2012-09-30,1996.42,2005.45,1968.85,1996.21,1913.94,3590000128,2433999872,47.198,60.6247
2012-09-23,2005.54,2012.74,1987.94,2002.37,1902.44,3960000000,2344000000,52.497,61.6163
2012-09-16,1934.63,2008.97,1912.47,2007.58,1890.07,4049999872,2181333248,66.3455,62.4181
2012-09-09,1909.06,1929.58,1873.49,1929.58,1876.73,3449999872,2013333376,51.2683,54.1178
2012-09-02,1909.02,1931,1896.84,1905.12,1870.77,3180000000,1922000000,48.8574,50.9642
2012-08-26,1944.67,1961.07,1913.75,1919.81,1864.98,2420000000,1866000000,56.2061,52.9955
2012-08-19,1945.33,1964.07,1932.4,1946.54,1857.88,1500000000,1868666624,60.6492,56.8222
2012-08-12,1883.62,1948.05,1881.66,1946.4,1847.68,1880000000,1954666624,75.1388,56.8071
2012-08-05,1847.01,1896.83,1841.4,1848.68,1834.02,1520000000,2028666752,63.0232,44.0727
2012-07-29,1799.24,1829.16,1758.99,1829.16,1839.72,2270000128,2074666624,60.6998,40.8373
2012-07-22,1820.34,1835.64,1790.36,1822.93,1853.05,2040000000,2050000000,55.9647,39.8053
2012-07-15,1840.3,1845.94,1773.67,1812.89,1865.76,1660000000,2094666624,61.307,38.1918
2012-07-08,1864.73,1881.68,1850.1,1858.2,1879.23,1620000000,2150666752,49.6955,43.0244
2012-07-01,1842.76,1854.01,1795.16,1854.01,1891.79,1550000000,2220000000,58.7533,42.3985
2012-06-24,1892.91,1908.19,1843.57,1847.39,1906.38,1820000000,2270666752,58.7049,41.455
2012-06-17,1860.9,1871.48,1840.1,1858.16,1920.27,2240000000,2315333376,55.7474,42.5068
2012-06-10,1782.58,1854.59,1776.85,1835.64,1934.32,1520000000,2318666752,65.7011,39.5278
2012-06-03,1821.63,1851.94,1813.01,1834.51,1950.89,1530000000,2465999872,59.6817,39.3814
2012-05-27,1801.48,1831.78,1788.33,1824.17,1966.2,2080000000,2569333248,70.0576,38.1088
2012-05-20,1917.26,1921.65,1779.47,1782.46,1983.74,2340000000,2624000000,80.4263,32.8261
2012-05-13,1956.06,1969.64,1915.69,1917.13,2003.53,2460000000,2638666752,49.5494,44.1151
2012-05-06,1989.52,2001.11,1975.46,1989.15,2012.39,2790000128,2556666624,37.5941,53.2007
2012-04-29,1971.39,1983.26,1954.01,1975.35,2012.77,2990000128,2505999872,43.5112,51.4205
2012-04-22,1985.28,2014.95,1970.54,1974.65,2012.52,2209999872,2452000000,50.6418,51.3333
2012-04-15,2008.03,2011.37,1969.09,2008.91,2011.7,1900000000,2456000000,53.7577,55.8926
2012-04-08,2022.42,2051.8,1997.12,2029.03,2006.78,2710000128,2441999872,50.6666,58.7374
2012-04-01,2035.17,2043.75,2002.61,2014.04,1994,2500000000,2425333248,48.6598,57.2314
